,item_id,title,season,gender,brand,product,tag,price,likes,date
88,1856125,여성 언발런스 밑단프릴 디테일 미디원피스 PINK/FS1WOP06F70,2021S/S,여,FIFI,/,"['레터링', '여성원피스', '미디원피스', '캐주얼원피스', '봄원피스', '데일리룩', '추천원피스']",68000,0,2021-03-24
89,1844450,[세트상품][NF] 베이직 가디건 원피스 셋업 (올리브)(20FW-F1001)[NF] BASIC CARDIGAN ONE-PIECE SET UP (OLIVE)(20FW-F1001),2020F/W,여,NASTY,CLUB,[],70000,0,2021-03-24
90,1854456,에어리핏 슬릿 원피스_퍼플헤더_(AKPOP-15LVD),2021S/S,여,ANDAR,AKPOP-15LVD,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
91,1854413,에어리핏 슬릿 원피스_오프화이트_(AKPOP-15WHT),2021S/S,여,ANDAR,AKPOP-15WHT,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
92,1854457,에어리핏 슬릿 원피스_블룸핑크_(AKPOP-15LPK),2021S/S,여,ANDAR,AKPOP-15LPK,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
93,1854414,에어리핏 슬릿 원피스_랍스타핑크_(AKPOP-15PNK),2021S/S,여,ANDAR,AKPOP-15PNK,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
94,1854458,에어리핏 슬릿 원피스_오이스터차콜_(AKPOP-15CHA),2021S/S,여,ANDAR,AKPOP-15CHA,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
95,1854415,에어리핏 슬릿 원피스_딥위스_(AKPOP-15NAV),2021S/S,여,ANDAR,AKPOP-15NAV,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
96,1854459,에어리핏 슬릿 원피스_메티오블랙_(AKPOP-15BLK),2021S/S,여,ANDAR,AKPOP-15BLK,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
97,1854439,에어리핏 슬릿 원피스_아니스옐로우_(AKPOP-15LYW),2021S/S,여,ANDAR,AKPOP-15LYW,"['트레이닝복', '운동복', '요가복', '애슬레저룩', '애슬레저', '필라테스복', '운동하의']",35000,0,2021-03-24
98,1854239,엠마 트위드 체크 드레스_블랙Emma Tweed Check Dress_Black,2021S/S,여,JUDE,/,"['여성원피스', '추천원피스', '캐주얼원피스', '여자원피스', '봄원피스', '미니원피스']",170000,0,2021-03-24
99,1854102,엠마 트위드 체크 드레스_아이보리Emma Tweed Check Dress_Ivory,2021S/S,여,JUDE,/,"['캐주얼원피스', '드레스', '봄원피스', '미니원피스', '원피스', '트위드', '트위드원피스']",170000,0,2021-03-24
100,1845518,SIDE SLIT TUBE TOP DRESS [BLACK],2021S/S,여,BADEE,BD21S358BK,[],42000,0,2021-03-24
101,1853057,CHECK SHIRT ONEPIECE / PINK,2021S/S,여,ZEROSTREET,ZIMFOO0040PK00F,"['여성원피스', '미니원피스', '봄원피스', '여자원피스', '캐주얼원피스']",149000,0,2021-03-24
102,1853351,트위드 숏츠 점프수트_블루TWEED SHORTS JUMPSUIT_BLUE,2021S/S,여,VEM.VER,VV21SPOP02BL,[],148000,0,2021-03-24
103,1845520,SIDE SLIT TUBE TOP DRESS [WHITE],2021S/S,여,BADEE,BD21S358WH,[],42000,0,2021-03-24
104,1845527,NEWSPAPER PRINTED MINI DRESS [PINK],2021S/S,여,BADEE,BD21S301PK,[],59000,0,2021-03-24
105,1853414,리본 타이 플레어 원피스_플라워프린트RIBBON TIED FLARE ONEPIECE_FLOWER PRINT,2021S/S,여,VEM.VER,VV21SPOP09PK,[],189000,0,2021-03-24
106,1853418,리본 타이 플레어 원피스_민트RIBBON TIED FLARE ONEPIECE_MINT,2021S/S,여,VEM.VER,VV21SPOP09MT,[],189000,0,2021-03-24
